file,group,experiment_dir,batch,lr,warmup,epoch,mode,dataset_tag,setup,adapter_size,adapter_pos,adapter_layers,dev_n,dev_p,dev_r,dev_f1,dev_p2,dev_r2,dev_f12,dev_acc,test_n,test_p,test_r,test_f1,test_p2,test_r2,test_f12,test_acc
Group1/EXP2 zeroshot_test/entity_type_batch-8_lr-5e-05_warmup-0_epoch-3.0_eval_figer_zeroshot_baseline_result.txt,Group1,Group1/EXP2 zeroshot_test,8,5e-05,0,3.0,eval,figer_zeroshot,baseline,,,,,,,,,,,,,0.012855532274289897,0.6575967323778314,0.02521806983808818,0.012793847889407453,0.5751860002095777,0.02503093335116878,0.0
Group1/EXP2 zeroshot_test/entity_type_batch-8_lr-5e-05_warmup-0_epoch-3.0_eval_zeroshot_baseline_result.txt,Group1,Group1/EXP2 zeroshot_test,8,5e-05,0,3.0,eval,zeroshot,baseline,,,,0,0.14146202711671566,0.7778936392075079,0.23939029281989574,0.14310500977167478,0.6318818818818819,0.23335998029157365,,0,0.14160556137510713,0.7809873949579832,0.2397420395002015,0.14369131035797536,0.6306306306306307,0.23405288387282075,
Group1/EXP2 zeroshot_test/entity_type_batch-8_lr-5e-05_warmup-0_epoch-3.0_eval_zeroshot_lin_only_result.txt,Group1,Group1/EXP2 zeroshot_test,8,5e-05,0,3.0,eval,zeroshot,lin_only,,,,5,0.08650751072961374,0.3362877997914494,0.13761467889908258,0.08977548977548978,0.22122122122122126,0.12771995832507144,,4,0.08851224105461393,0.34558823529411764,0.1409295352323838,0.08912364745698077,0.2262262262262262,0.12787134617319515,
Group1/EXP2 zeroshot_test/entity_type_batch-8_lr-5e-05_warmup-0_epoch-3.0_eval_figer_zeroshot_lin_only_result.txt,Group1,Group1/EXP2 zeroshot_test,8,5e-05,0,3.0,eval,figer_zeroshot,lin_only,,,,,,,,,,,,,0.013226766043486797,0.5890810220287307,0.025872608700513382,0.013205448628210496,0.5387194802473017,0.02577898568892722,0.0
Group1/EXP2 zeroshot_test/entity_type_batch-8_lr-5e-05_warmup-0_epoch-3.0_eval_figer_zeroshot_fac_lin_concat_result.txt,Group1,Group1/EXP2 zeroshot_test,8,5e-05,0,3.0,eval,figer_zeroshot,fac_lin_concat,,,,,,,,,,,,,0.01346109465241581,0.5175243359585184,0.026239680675422282,0.013504530730682867,0.5031262007055782,0.026303054872292127,0.0
Group1/EXP2 zeroshot_test/entity_type_batch-8_lr-5e-05_warmup-0_epoch-3.0_eval_zeroshot_fac_lin_concat_result.txt,Group1,Group1/EXP2 zeroshot_test,8,5e-05,0,3.0,eval,zeroshot,fac_lin_concat,,,,0,0.10831873905429072,0.6449426485922837,0.18548508022192234,0.10678853456631124,0.5337003670337002,0.17796742441799174,,0,0.11324748632915858,0.6743697478991597,0.19392840960579974,0.11167496861941173,0.550508842175509,0.18568275657738328,
Group1/EXP2 zeroshot_test/entity_type_batch-8_lr-5e-05_warmup-0_epoch-3.0_eval_zeroshot_fac_only_result.txt,Group1,Group1/EXP2 zeroshot_test,8,5e-05,0,3.0,eval,zeroshot,fac_only,,,,9,0.0974443077764111,0.37174139728884253,0.1544125609095831,0.09869512369512376,0.2519185852519186,0.14182637642553836,,4,0.09665427509293681,0.36869747899159666,0.1531580669793826,0.09681348014681346,0.24966633299966637,0.1395236643294553,
Group1/EXP2 zeroshot_test/entity_type_batch-8_lr-5e-05_warmup-0_epoch-3.0_eval_zeroshot_fac_lin_add_result.txt,Group1,Group1/EXP2 zeroshot_test,8,5e-05,0,3.0,eval,zeroshot,fac_lin_add,,,,1,0.06973271614155592,0.2434827945776851,0.10841555426581544,0.06961961961961961,0.16966966966966968,0.09872851307697574,,1,0.07499625018749062,0.26260504201680673,0.11667250029168125,0.07327327327327328,0.18105605605605607,0.10432591402777372,
Group1/EXP2 zeroshot_test/entity_type_batch-8_lr-5e-05_warmup-0_epoch-3.0_eval_figer_zeroshot_fac_lin_add_result.txt,Group1,Group1/EXP2 zeroshot_test,8,5e-05,0,3.0,eval,figer_zeroshot,fac_lin_add,,,,,,,,,,,,,0.014345412570202908,0.61088962807155,0.028032541939905384,0.014337796706543431,0.5390338467987006,0.02793261203046305,0.0
Group1/EXP2 zeroshot_test/entity_type_batch-8_lr-5e-05_warmup-0_epoch-3.0_eval_figer_zeroshot_fac_only_result.txt,Group1,Group1/EXP2 zeroshot_test,8,5e-05,0,3.0,eval,figer_zeroshot,fac_only,,,,,,,,,,,,,0.014020514067016177,0.660046633729553,0.027457778185281775,0.013926507012441351,0.6131544936952041,0.02723444131306808,0.0
Group1/EXP1 verify_finetune/entity_type_batch-4_lr-5e-06_warmup-500_epoch-3.0_exp_fac_lin_add_optimal_result.txt,Group1,Group1/EXP1 verify_finetune,4,5e-06,500,3.0,exp,,fac_lin_add,,,,1366,0.800332778702163,0.7523461939520334,0.7755979575382961,0.6401401401401401,0.6282949616282949,0.6341622432639136,,1326,0.7801104972375691,0.7415966386554622,0.7603661820140012,0.6292125458792125,0.6174090757424089,0.6232549310214448,
Group1/EXP1 verify_finetune/entity_type_batch-4_lr-5e-06_warmup-500_epoch-3.0_exp_fac_only_optimal_result.txt,Group1,Group1/EXP1 verify_finetune,4,5e-06,500,3.0,exp,,fac_only,,,,1350,0.7754038561750912,0.7758081334723671,0.7756059421422987,0.6508174841508174,0.646312979646313,0.6485574105724159,,1333,0.7648605996843767,0.7636554621848739,0.764257555847569,0.6357190523857192,0.6314230897564228,0.633563788819815,
Group1/EXP1 verify_finetune/entity_type_batch-8_lr-2e-05_warmup-120_epoch-3.0_exp_baseline_result.txt,Group1,Group1/EXP1 verify_finetune,8,2e-05,120,3.0,exp,,baseline,,,,1342,0.771295818275684,0.7789363920750783,0.7750972762645915,0.6393059726393058,0.6465632298965633,0.6429141218199494,,1327,0.7562852744997435,0.7741596638655462,0.7651180898001558,0.6361361361361361,0.6412245578912245,0.6386702120392448,
Group1/EXP1 verify_finetune/entity_type_batch-4_lr-5e-06_warmup-1000_epoch-3.0_exp_lin_only_optimal_result.txt,Group1,Group1/EXP1 verify_finetune,4,5e-06,1000,3.0,exp,,lin_only,,,,1380,0.8028872848417545,0.7539103232533889,0.777628394729766,0.6488154821488153,0.6322155488822155,0.640407962389252,,1346,0.7829928216454998,0.7447478991596639,0.7633916554508748,0.6348848848848848,0.6212879546212879,0.6280128325416856,
Group1/EXP1 verify_finetune/entity_type_batch-4_lr-5e-06_warmup-500_epoch-3.0_exp_fac_lin_concat_optimal_result.txt,Group1,Group1/EXP1 verify_finetune,4,5e-06,500,3.0,exp,,fac_lin_concat,,,,1366,0.7834997372569626,0.7773722627737226,0.7804239727819943,0.6468134801468134,0.6495662328995662,0.6481869339042836,,1337,0.7620798319327731,0.7620798319327731,0.7620798319327731,0.6306306306306307,0.6318818818818818,0.6312556362110375,
Group2/EXP3 Size/entity_type_batch-4_lr-0.0001_warmup-120_epoch-3.0_finetune-fac-adapter-size-768_result.txt,Group2,Group2/EXP3 Size,4,0.0001,120,3.0,,,,768,,,1220,0.7183650615901456,0.6689259645464025,0.6927645788336934,0.5676509843176509,0.56322989656323,0.5654317984971275,,1185,0.7135593220338983,0.6633403361344538,0.6875340228633641,0.5582248915582249,0.553928928928929,0.5560686131471805,
Group2/EXP3 Size/entity_type_batch-4_lr-0.0001_warmup-120_epoch-3.0_finetune-fac-adapter-size-256_result.txt,Group2,Group2/EXP3 Size,4,0.0001,120,3.0,,,,256,,,1225,0.7171772428884027,0.6835245046923879,0.6999466097170316,0.5784534534534534,0.5769102435769102,0.5776808178887526,,1202,0.7044334975369458,0.6759453781512605,0.6898954703832754,0.5690690690690692,0.5665248581915248,0.5677941135758744,
Group2/EXP3 Size/entity_type_batch-4_lr-0.0001_warmup-120_epoch-3.0_finetune-fac-adapter-concat-size-16_result.txt,Group2,Group2/EXP3 Size,4,0.0001,120,3.0,,,,16,,,1206,0.7086350974930362,0.6631908237747653,0.6851602477780772,0.5689022355689022,0.560810810810811,0.5648275462939866,,1214,0.71822272215973,0.6706932773109243,0.6936447582835416,0.5654821488154822,0.559934934934935,0.5626948706850868,
Group2/EXP3 Size/entity_type_batch-4_lr-0.0001_warmup-120_epoch-3.0_finetune-fac-adapter-size-64_result.txt,Group2,Group2/EXP3 Size,4,0.0001,120,3.0,,,,64,,,1217,0.7080645161290322,0.6866527632950991,0.6971942826892534,0.577660994327661,0.5752419085752418,0.5764489135205196,,1201,0.7050516023900054,0.6817226890756303,0.6931909212283045,0.5774941608274942,0.5691524858191525,0.5732929811328376,
Group2/EXP4 Position/entity_type_batch-4_lr-0.0001_warmup-120_epoch-3.0_finetune-fac-pos-21_22_23_result.txt,Group2,Group2/EXP4 Position,4,0.0001,120,3.0,,,,,21_22_23_,,689,0.37987987987987987,0.39572471324296143,0.3876404494382023,0.37987987987987987,0.3610276943610278,0.3702139428327224,,695,0.37987987987987987,0.39863445378151263,0.38903126601742705,0.37987987987987987,0.36290457123790465,0.37119825198886347,
Group2/EXP4 Position/entity_type_batch-4_lr-0.0001_warmup-120_epoch-3.0_finetune-fac-pos-0_1_2_result.txt,Group2,Group2/EXP4 Position,4,0.0001,120,3.0,,,,,0_1_2_,,1031,0.6738442051931602,0.5547445255474452,0.6085215899342293,0.4668835502168836,0.46771771771771764,0.4673002617040461,,1079,0.6963109354413702,0.5551470588235294,0.6177673874926943,0.47997997997998,0.46959459459459457,0.4747304954183331,
Group2/EXP4 Position/entity_type_batch-4_lr-0.0001_warmup-120_epoch-3.0_finetune-fac-pos-10_11_12_result.txt,Group2,Group2/EXP4 Position,4,0.0001,120,3.0,,,,,10_11_12_,,1214,0.7115800865800865,0.6856100104275287,0.6983536909187467,0.57665999332666,0.5753253253253253,0.5759918861656733,,1233,0.7107085775173149,0.7006302521008403,0.7056334303094418,0.585085085085085,0.5850433767100431,0.5850642301542318,
Group2/EXP5 Layers/entity_type_batch-4_lr-0.0001_warmup-120_epoch-3.0_finetune-fac-layers-1_result.txt,Group2,Group2/EXP5 Layers,4,0.0001,120,3.0,,,,,,1,1228,0.7275280898876404,0.6751824817518248,0.7003785830178474,0.5769102435769102,0.565815815815816,0.5713091732509209,,1247,0.7231121281464531,0.6638655462184874,0.6922234392113911,0.5708208208208209,0.5575158491825158,0.564089891096138,
Group2/EXP5 Layers/entity_type_batch-4_lr-0.0001_warmup-120_epoch-3.0_finetune-fac-layers-4_result.txt,Group2,Group2/EXP5 Layers,4,0.0001,120,3.0,,,,,,4,1250,0.7663209273947529,0.6548488008342023,0.706213100927748,0.5634801468134802,0.5518852185518851,0.5576224143770825,,1231,0.770012706480305,0.6365546218487395,0.6969522714203565,0.5508842175508841,0.533908908908909,0.5422637447705693,
Group3/Exp6 Domainshift/entity_type_batch-4_lr-0.0001_warmup-120_epoch-3.0_finetune-with-tacred-adapter_result.txt,Group3,Group3/Exp6 Domainshift,4,0.0001,120,3.0,,,with_tacred_adapter,,,,744,0.5723756906077349,0.27007299270072993,0.3669854764434998,0.25925925925925924,0.2526693360026693,0.25592188244950176,,806,0.6097826086956522,0.29464285714285715,0.3973087818696883,0.2807807807807808,0.27285618952285623,0.2767617700569336,
